"filename", "language", "JavaScript", "JSON", "PHP", "CSS", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\README.md", "Markdown", 0, 0, 0, 0, 45, 0, 0, 0, 22, 67
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Console\Kernel.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 12, 6, 36
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Events\DisminuirProductosEvent.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 5, 8, 37
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Events\DisminuyendoCandtidadEvent.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 5, 7, 40
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Exceptions\Handler.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 23, 7, 51
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Exports\ExcelGeneralExport.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 19, 6, 38
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Exports\ExportBackup.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Exports\ProductoExportCollection.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 3, 4, 19
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Exports\ProductoExportView.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 140, 26, 191
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Exports\VerificadorExport.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 2, 7, 26
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\AuthController.php", "PHP", 0, 0, 181, 0, 0, 0, 0, 35, 48, 264
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\BackupController.php", "PHP", 0, 0, 527, 0, 0, 0, 0, 268, 122, 917
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\ClienteController.php", "PHP", 0, 0, 148, 0, 0, 0, 0, 55, 36, 239
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\Controller.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\DatosgeneralController.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 48, 10, 86
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\EmpleadoController.php", "PHP", 0, 0, 171, 0, 0, 0, 0, 57, 48, 276
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\PapelController.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 47, 10, 88
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\ProductoController.php", "PHP", 0, 0, 513, 0, 0, 0, 0, 101, 94, 708
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\ProveedorController.php", "PHP", 0, 0, 109, 0, 0, 0, 0, 29, 25, 163
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\PruebasController.php", "PHP", 0, 0, 241, 0, 0, 0, 0, 86, 45, 372
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\ReporteController.php", "PHP", 0, 0, 241, 0, 0, 0, 0, 80, 46, 367
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\RolController.php", "PHP", 0, 0, 61, 0, 0, 0, 0, 14, 13, 88
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\UbicacionController.php", "PHP", 0, 0, 117, 0, 0, 0, 0, 53, 36, 206
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Controllers\VentasController.php", "PHP", 0, 0, 1096, 0, 0, 0, 0, 367, 245, 1708
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Kernel.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 22, 8, 73
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Livewire\AutorellenoCliente.php", "PHP", 0, 0, 41, 0, 0, 0, 0, 5, 16, 62
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Livewire\BuscadorClienteWire.php", "PHP", 0, 0, 119, 0, 0, 0, 0, 10, 29, 158
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Livewire\BuscadorVentaWire.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 1, 12, 31
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\Authenticate.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 9, 5, 27
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 8, 6, 33
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\RolAdmin.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 10, 6, 37
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\TrimStrings.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 5, 4, 20
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\TrustHosts.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 5, 4, 21
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\TrustProxies.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 10, 5, 29
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\ValidateSignature.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 11, 4, 23
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\middlaware_ventas.php", "PHP", 0, 0, 48, 0, 0, 0, 0, 41, 19, 108
